Key,English,NOTES,German,Russian
GAMEPLAY_ExperienceModeDescStalker,"Votre trépas vous attend derrière chaque collines, bâtiments et arbres. Seul votre skill et votre détermination pourront vous éviter les mâchoires affamés de la mort. Pas pour les petites natures. Seuls les plus forts survivront.",Ceci est le mode Stalker.,"Dein Untergang wartet hinter jedem Hügel, jeder Hütte und jedem Baum. Nur mit deinem Geschick und deiner Entschlossenheit ringst du dem gefräßigen Tod Stunde um Stunde ab. Nichts für Zartbesaitete. Nur die Stärksten werden überleben.","Опасности ждут за каждым поворотом – на холмах, в убежищах, за деревьями. Только навыки и собранность помогут вам избежать гибели в зубах зверей. Да, слабакам здесь не место. Выживет лишь сильнейший."
GAMEPLAY_ExperienceModeDescStalkerBullets,"•        Pour les joueurs qui recherchent une expérience punitive et humiliante.
•        Le gameplay est réglé pour être plus ""réaliste"" et rendre l'expérience très difficile.","Ce texte décrit le mode d'expérience sélectionnée (dans ce cas, Stalker).","•        Für Spieler, die sich einem unbarmherzigen Kampf ums Überleben stellen wollen.
•        Das Spiel wird dort „realistischer“, wo dies den Schwierigkeitsgrad erhöht.","•        Для тех, кому хочется сложной и суровой игры.
•        Игра будет более ""реалистичной"", чтобы выжить стало сложнее."
GAMEPLAY_ExperienceModeDescVoyageur,"Vous êtes un explorateur, autant chasseur que chassé. Le monde ne vous donnera rien gratuitement mais vous verrez qu'avec le temps vous vous en sortirez.",Ceci est le mode Voyageur.,"Du bist ein Entdecker, zu gleichen Teilen Jäger und Gejagter. Die Welt gibt dir nichts geschenkt, doch mit der Zeit machst du sie dir untertan.","Вы – исследователь, в равной мере охотник и добыча. Мир ничего не даст вам просто так, но со временем вы освоитесь здесь."
GAMEPLAY_ExperienceModeDescVoyageurBullets,"•        Pour les joueurs qui recherchent une expérience d'exploration et de survie raisonnablement difficile sans être punitive.","Ce texte décrit le mode d'expérience sélectionnée (dans ce cas, Voyageur).","•        Für Spieler, die einen anspruchsvollen, aber gutartigen Mix aus Erkunden und Survival bevorzugen.","•        Для тех, кто предпочитает средний уровень сложности, где сочетаются выживание и исследование. "
GAMEPLAY_ExperiencingBloodLossHUD,Perte de sang...,,,
GAMEPLAY_ExperiencingBloodLossLog,Éprouve une importante perte de sang.,,,
GAMEPLAY_Extinguishing,Extinction...,,,
GAMEPLAY_Failed,Échec,,,
GAMEPLAY_Failedattempttostartfire,Tentative de feu échoué.,,,
GAMEPLAY_Fatigue,Fatigue,,,
GAMEPLAY_Feelslike,Temp. ressentie,,,
GAMEPLAY_FileCabinet,Meuble à classeur,,,
GAMEPLAY_FilterAll,Tout,,,
GAMEPLAY_FilterClothing,Vêtements,,,
GAMEPLAY_FilterFirstAid,Premier Soin,,,
GAMEPLAY_FilterFoodAndDrink,Nourriture et Boisson,,,
GAMEPLAY_FilterMaterial,Matériaux,,,
GAMEPLAY_FilterOther,Autres,,,
GAMEPLAY_FilterTool,Outil,,,
GAMEPLAY_Fire,Feu,,,
GAMEPLAY_FireAxe,Hache Incendie ,,,
GAMEPLAY_FireAxeDescription,Missing,,,
GAMEPLAY_FireAxeTooltip,,,
GAMEPLAY_FireBarrel,Baril Réchaud,,,
GAMEPLAY_Firelog,Bûche,,,
GAMEPLAY_FirelogDescription,Bûche faite de produits chimiques et de copeaux compressés. Ne produit pas beaucoup de chaleur.,,,
GAMEPLAY_FirelogTooltip,Carburant,,,
GAMEPLAY_FirePlace,Foyer,,,
GAMEPLAY_FirestarterHeader,Démarreur,,,
GAMEPLAY_FireStartingBaseSkill,Compétence de Feu,,,
GAMEPLAY_FireStartingSkillIncreased,Compétence de feu augmentée à {%-value},,,
GAMEPLAY_Firestriker,Allume-feu,,,
GAMEPLAY_FirestrikerDescription,Outil de métal conçu pour aider à démarrer des feux en pleine nature.,,,
GAMEPLAY_FirestrikerTooltip,Allume-feu multi-usage,,,
GAMEPLAY_FirFirewood,Bois de Sapin,,,
GAMEPLAY_FirFirewoodDescription,"Bien que pas techniquement un bois de feuillus, le sapin brûle pareil.",,,
GAMEPLAY_FirFirewoodTooltip,Carburant & matières premières,,,
GAMEPLAY_FirstAid,Premier Soin,,,
GAMEPLAY_FirstAidKit,Trousse de premiers soins,,,
GAMEPLAY_FirstAidnotneeded,Trousse de premiers soins non nécessaire,,,
GAMEPLAY_FirstAidRest,{needed-value} Heure(s) de repos,,,
GAMEPLAY_FirstAidRestRemaining,{needed-value} heure(s) de repos ({remaining-value} restante),,,
GAMEPLAY_FirstAidWater,Boire {needed-value} d'eau potable,,,
GAMEPLAY_FirstAidWaterRemaining,Boire {needed-value} d'eau potable ({remaining-value} restant),,,
GAMEPLAY_FishingCamp,Camp de pêche,,,
GAMEPLAY_FishingLineSnapped,Ligne de pêche cassée !,,,
GAMEPLAY_FishingProgress,Pêche...,,,
GAMEPLAY_FishingTackle,Attirail de Pêche,,,
GAMEPLAY_FishingTackleDescription,Un crochet et une ligne utile pour la capture de poissons.,,,
GAMEPLAY_Flare,Fusée,,,
GAMEPLAY_FlareDescription,Une fusée jetable. Assez puissante pour effrayer la faune.,,,
GAMEPLAY_FlareLighting,Allumage...,,,
GAMEPLAY_FlareTooltip,Source de lumière,,,
GAMEPLAY_Flee,Fuite,,,
GAMEPLAY_FleeceSweater,Pull polaire,,,
GAMEPLAY_FleeceSweaterDescription,"Micro-polaire synthétique mi-couche. Léger, mais pas particulièrement coupe-vent.",,,
GAMEPLAY_FleeceSweaterTooltip,Vêtements,,,
GAMEPLAY_FlintSteel,Pierre à Feu,,,
GAMEPLAY_FlintSteelDescription,Une pierre à feu pour créer des étincelles et enflammé des fagots.,,,
GAMEPLAY_FlintSteelTooltip,Allume-feu multi-usage,,,
GAMEPLAY_Foggy,Brumeux,,,
GAMEPLAY_Food,Aliment,,,
GAMEPLAY_Fooditemhasnocalories,Denrée alimentaire sans calorie,,,
GAMEPLAY_FoodPoisoning,Intoxication alimentaire,,,
GAMEPLAY_FoodPoisoningDescription,"Quelque chose que vous avez mangé vous a rendu très malade. Vous vous affaiblirez jusqu'à ce que vous soyez soigné, que cela passe ou vous mourriez.",,,
GAMEPLAY_FoodPoisoningHasPassed,L'intoxication alimentaire est passée,,,
GAMEPLAY_Forage,Chercher,,,
GAMEPLAY_ForagingProgress,Recherche...,,Sammeln ...,Занимается промыслом...
GAMEPLAY_Forcing,Forçage...,,,
GAMEPLAY_ForestryLookout,Tour de Garde Forestière,,,
GAMEPLAY_Forward,Avancer,,,
GAMEPLAY_FOV,Champ de Vision,,,
GAMEPLAY_Freezer,Congélateur,,,
GAMEPLAY_Freezing,Gelé,,,
GAMEPLAY_Fridge,Frigo,,,
GAMEPLAY_FrontDoor,Porte d'entrée,,,
GAMEPLAY_FrozenCorpse,Corps congelé,,,
GAMEPLAY_FrozenCreek,Ruisseau gelé,,,
GAMEPLAY_FrozenPercentPostfix,(gelé à {%-value}%),,,
GAMEPLAY_FrozenPostfix,(gelé),,,
GAMEPLAY_Fuel,Carburant,,,
GAMEPLAY_FuelChest,Pompe à Essence,,,
GAMEPLAY_FuelCover,Trappe à Essence,,,
GAMEPLAY_FuelRemainingPostfix,({%-value}% Fuel),,,
GAMEPLAY_FullScreen,Plein Écran,,,
GAMEPLAY_galUnits,gal,,,
GAMEPLAY_Gasoline,Essence,,,
GAMEPLAY_German,Allemand,Do not translate,Deutsch,Deutsch
GAMEPLAY_GloveBox,Boîte à gants,,,
GAMEPLAY_GranolaBar,Barre Granola,,,
GAMEPLAY_GranolaBarDescription,Sec et croquant.,,,
GAMEPLAY_GranolaBarTooltip,,,
GAMEPLAY_GrapeSoda,Jus de Raisin Stacy,,,
GAMEPLAY_GrapeSodaDescription,Boisson gazeuse sucrée. Bourré de sirop de maïs à haute teneur en fructose.,,,
GAMEPLAY_GrapeSodaTooltip,,,
GAMEPLAY_Grate,Grille,,Rost,Решетка
GAMEPLAY_GreenTeaCup,Tasse de tisane,,Tasse Kräutertee,Чашка травяного чая
GAMEPLAY_GreenTeaCupDescription,Une tasse de tisane.,,Eine Tasse Kräutertee.,Чашка чая.
GAMEPLAY_GreenTeaCups,Tasses de tisane,,Tassen Kräutertee,Чашки травяного чая
GAMEPLAY_GreenTeaPackage,Tisane,,Kräutertee,Травяной чай
GAMEPLAY_GreenTeaPackageDescription,Une boîte de thé parfumé. L'étiquette promet des effets curateur et un repos plus régénérateur.,,Ein Päckchen duftenden Tees. Das Etikett verheißt eine stärkende Wirkung und eine bessere Nachtruhe.,"Пачка чая с приятным запахом. Если верить этикетке, чай помогает расслабиться и отдохнуть в покое."
GAMEPLAY_Gut,Intestin,,,
GAMEPLAY_GutDescription,Intestin utilisé pour l'artisanat et la réparation.,,,
GAMEPLAY_GutTooltip,Matière première,,,
GAMEPLAY_Hardwood,Bois Dur,,,
GAMEPLAY_HareCarcass,Carcasse de Lapin,,,
GAMEPLAY_Harvest,Recyclage,,,
GAMEPLAY_HarvestAll,Tout Récolter,,,
GAMEPLAY_HarvestCarcass,Dépecer Carcasse,,,
GAMEPLAY_HarvestFrozenCarcass,Dépecer Carcasse Gelée,,,
GAMEPLAY_HarvestGut,Récolter Intestin,,,
GAMEPLAY_HarvestHide,Récolter Peau,,,
GAMEPLAY_HarvestingFraction,Récupération ({curr-value}/{total-value})...,,,
GAMEPLAY_HarvestingGut,Récolte Intestin...,,,
GAMEPLAY_HarvestingHide,Récolte Peau...,,,
GAMEPLAY_HarvestingMeat,Récolte Chair...,,,
GAMEPLAY_HarvestingProgress,Récupération...,,,
GAMEPLAY_HarvestMeat,Récolter Chairs,,,
GAMEPLAY_Hatch,Hatch,,,
GAMEPLAY_Hatchet,Hachette,,,
GAMEPLAY_HatchetDescription,Une petite hache à une main. Conseillé pour fendre le bois. Peut être utilisé pour réduire la viande en morceau.,,,
GAMEPLAY_HatchetTooltip,Améliore la recherche de bois,,,
GAMEPLAY_Healthy,En Bonne Santé,,,
GAMEPLAY_HeatedItem,{item-name} réchauffé(e),,{item-name} aufgewärmt,{item-name}: согрето
GAMEPLAY_HeavySnow,Fortes chutes de neige,,,
GAMEPLAY_HeavyWoolSweater,Gros Pull en Laine,,,
GAMEPLAY_HeavyWoolSweaterDescription,"Épais chandail de laine à torsades. Maintient le corps chaud, même lorsqu'il est mouillé.",,,
GAMEPLAY_HeavyWoolSweaterTooltip,Vêtements,,,
GAMEPLAY_Help,Aide,,,
GAMEPLAY_High,Haut,,,
GAMEPLAY_HighResScreenshot,"Captures d'écran Haute Résolution
(ATH désactivé)
",,,
GAMEPLAY_HoldToRun,Appuyer pour courir,,,
GAMEPLAY_Holster,Holster,,,
GAMEPLAY_Hood,Capot,,,
GAMEPLAY_Hook,Crochet,,,
GAMEPLAY_HookDescription,Un crochet ordinaire adapté pour la pêche.,,,
GAMEPLAY_Hooks,Crochets,,,
GAMEPLAY_Hot,Chaud,,Heiß,Горячий
GAMEPLAY_HotPostfix,(Chaud),,(heiß),(Горячий)
GAMEPLAY_hour,heure,,,
GAMEPLAY_hours,heures,,,
GAMEPLAY_HoursRemaining,Heure(s) restante(s),,Stunden übrig,Часов осталось:
GAMEPLAY_hoursShortForm,h,,,
GAMEPLAY_HoursToFish,Heure(s) à Pêcher,,,
GAMEPLAY_HoursToRest,Heure(s) de repos,,,
GAMEPLAY_HUD,ATH,,,
GAMEPLAY_Hunger,Faim,,,
GAMEPLAY_Hungry,Affamé,,,
GAMEPLAY_HuntingKnife,Couteau de Chasse,,,
GAMEPLAY_HuntingKnifeDescription,Couteau de qualité avec une lame en acier inoxydable et un manche en bois.,,,
GAMEPLAY_HuntingKnifeTooltip,Bon pour la récolte de viande et se défendre,,,
GAMEPLAY_HuntingRifle,Fusil de chasse,,,
GAMEPLAY_HuntingRifleDescription,Un vieux calibre .303. Abattra un cerf. Peut-être un loup.,,,
GAMEPLAY_HuntingRifleTooltip,Arme,,,
GAMEPLAY_IceFishing,Pêche sur Glace,,,
GAMEPLAY_IceFishingHole,Trou de Pêche,,,
GAMEPLAY_IceFishingHoleCleared,Trou de Pêche (Ouvert),,,
GAMEPLAY_IceFishingHuts,Cabanes de pêche sur glace,,,
GAMEPLAY_Imperial,Impérial,,,
GAMEPLAY_Increase,Augmenter,,,
GAMEPLAY_Infection,Infection,,,
GAMEPLAY_InfectionCleared,Infection résorbée,,,
GAMEPLAY_InfectionDescription,Vous avez une infection qui pourrait vous tuer si non soignée.,,,
GAMEPLAY_InfectionRisk,Risques d'infection,,,
GAMEPLAY_InfectionRiskDescription,Vous avez subi une blessure qui pourrait entraîner une infection si non soignée.,,,
GAMEPLAY_InfectionRiskHUD,Risque de plaie infectée,,,
GAMEPLAY_InfectionRiskLog,Risque de plaie infectée.,,,
GAMEPLAY_InProgressPostfix,(En cours),,(Vorgang läuft),(в процессе)
GAMEPLAY_InsufficentFireStarter,Matériaux insuffisant pour allumer un feu (besoin Allume-feu),,,
GAMEPLAY_InsufficentFireStarterFuel,Matériaux insuffisant pour allumer un feu (besoin Allume-feu et carburant),,,
GAMEPLAY_InsufficentFireStarterTinder,Matériaux insuffisant pour allumer un feu (besoin Allume-feu et d'amadou),,,
GAMEPLAY_InsufficentFireStarterTinderFuel,"Matériaux insuffisant pour allumer un feu (besoin Allume-feu, Amadou et carburant)",,,
GAMEPLAY_InsufficentFuel,Matériaux insuffisant pour allumer un feu (besoin carburant),,,
GAMEPLAY_InsufficentTinder,Matériaux insuffisant pour allumer un feu (besoin amadou),,,
GAMEPLAY_InsufficentTinderFuel,Matériaux insuffisant pour allumer un feu (besoin amadou et carburant),,,
GAMEPLAY_Insufficientmaterialsforcrafting,Matériaux insuffisant pour la fabrication,,,
GAMEPLAY_Insufficientmaterialsforrepair,Matériaux insuffisant pour la réparation,,,
GAMEPLAY_Insufficientmaterialstocreatefire,Matériaux insuffisante pour créer le feu,,,
GAMEPLAY_InsulatedBoots,Bottes isolantes,,,
GAMEPLAY_InsulatedBootsDescription,Bottes isolantes. Extérieure imperméable. Chausson en feutre. Conçu pour le froid.,,,
GAMEPLAY_InsulatedBootsTooltip,Vêtements,,,
GAMEPLAY_InsulatedVest,Veste Isolante,,,
GAMEPLAY_InsulatedVestDescription,Couche supérieure synthétique qui réchauffe mais laisse les bras exposés.,,,
GAMEPLAY_InsulatedVestTooltip,Vêtements,,,
GAMEPLAY_InteractShoot,Interagir / Tirer,,,
GAMEPLAY_Invalidlocationtoplaceobject,Emplacement Objet Incorrect,,,
GAMEPLAY_Inventory,Inventaire,,,
GAMEPLAY_InvertX,Inverser X,,,
GAMEPLAY_InvertY,Inverser Y,,,
GAMEPLAY_ItemAddedToInventory,{item-name} ajouté dans l'inventaire,,,
GAMEPLAY_ItemCondition,Condition,,,
GAMEPLAY_Itemisalreadyfullyrepaired,L'objet est déjà entièrement réparé,,,
GAMEPLAY_ItemsNeeded,Objets Requis,,,
GAMEPLAY_ItemToCraft,Objet à Fabriquer:,,,
GAMEPLAY_ItemToHarvest,Objet à Recycler,,,
GAMEPLAY_ItemToRepair,Objet à Réparer:,,,
GAMEPLAY_Itstoowindytostartafirethere,Il y a trop de vent pour allumer un feu ici,,,
GAMEPLAY_JackrabbitIsland,L'île au Lièvre,,,
GAMEPLAY_Jeans,Jeans,,,
GAMEPLAY_JeansDescription,Jeans en denim de base. Bon à pas grand chose ici.,,,
GAMEPLAY_JeansTooltip,Vêtements,,,
GAMEPLAY_JerryCan,Jerry Can,,,
GAMEPLAY_JerryCanDescription,"Un vieux bidon métallique contenant du kérosène, carburant pour les lampes à huile.",,,
GAMEPLAY_JerryCanTooltip,Fuel,,,
GAMEPLAY_Kerosene,Kérosène,,,
GAMEPLAY_KeyBindings,Config. touches,,,
GAMEPLAY_kgUnits,kg,,,
GAMEPLAY_kmhUnits,km/h,,,
GAMEPLAY_kmUnits,km,,,
GAMEPLAY_Ladder,Échelle,,,
GAMEPLAY_LakeCabins,Cabanes du Lac,,,
GAMEPLAY_LakeTrail,Sentier du Lac,,,
GAMEPLAY_Lampalreadyfull,Lampe déjà rempli,,,
GAMEPLAY_Language,Langue,,Sprache,Язык
GAMEPLAY_LanternFuel,Combustible Lanterne,,,
GAMEPLAY_LanternFuelDescription,Petite bouteille de kérosène.,,,
GAMEPLAY_LanternFuelTooltip,Fuel,,,
GAMEPLAY_LanternLighting,Allumage...,,,
GAMEPLAY_lbsUnits,lbs,,,
GAMEPLAY_Leather,Cuir,,,
GAMEPLAY_LeatherDescription,Pièce de cuir utile pour l'artisanat et la réparation.,,,
GAMEPLAY_LeatherTooltip,Matière première,,,
GAMEPLAY_Left,Gauche,,,
GAMEPLAY_lessthanoneminute,moins d'une minute,,,
GAMEPLAY_Lid,Lid,,,
GAMEPLAY_LightSnow,Poudreuse,,,
GAMEPLAY_Line,Fil,,,
GAMEPLAY_LineDescription,Une ligne pour la pêche.,,,
GAMEPLAY_Lines,Fils,,,
GAMEPLAY_litreUnits,L,,,
GAMEPLAY_Load,Charger,,,
GAMEPLAY_LoadGame,Charger Partie,,,
GAMEPLAY_LoadingProgress,Chargement...,,,
GAMEPLAY_LoadTextDefault,"Une tempête géomagnétique mystérieuse a précipité votre avion dans le désert du Nord canadien. 

Combien de temps pourrez-vous survivre ?",,,
GAMEPLAY_LockedPostfix,(Fermé),,,
GAMEPLAY_Locker,Casier,,,
GAMEPLAY_Log,Journal,,,
GAMEPLAY_Logbook,Journal,,,
GAMEPLAY_LoggingCamp,Camp de bûcherons,,,
GAMEPLAY_Logs,Journaux,,,
GAMEPLAY_LogSort,Zone de Triage,,,
GAMEPLAY_LoneLakeCabin,Refuge du lac isolé,,,
GAMEPLAY_Lookout,Point d'observation,,,
GAMEPLAY_Low,Faible,,,
GAMEPLAY_Madeittoday,Made it to day,,,
GAMEPLAY_MagnifyingLens,Loupe,,,
GAMEPLAY_MagnifyingLensDescription,Une loupe qui peut être utilisé pour allumer un feu en plein jour.,,,
GAMEPLAY_Magnifyinglensrequiresdirectsunlight,La loupe nécessite la lumière directe du soleil,,,
GAMEPLAY_MagnifyingLensTooltip,Firestarter; requiert la lumière du soleil,,,
GAMEPLAY_Map,Carte,,,
GAMEPLAY_MapNotAvailable,"(Non disponible dans Alpha)

Une carte toute simple avec des points de repère connus.
Elle sera mise à jour au fur et à mesure 
de l'exploration du monde.",,,
GAMEPLAY_MarinersPeaCoat,Caban de Marin,,,
GAMEPLAY_MarinersPeaCoatDescription,"Manteau de laine épais, traditionnellement porté par les marins et les pêcheurs.",,,
GAMEPLAY_MarinersPeaCoatTooltip,Vêtements,,,
GAMEPLAY_Match,Allumette,,,
GAMEPLAY_Matches,Allumettes,,,
GAMEPLAY_MaxsLastStand,Dernier Refuge de Max,,,
GAMEPLAY_Meat,Viande,,,
GAMEPLAY_MedicineShelf,Armoire à Pharmacie,,,
GAMEPLAY_Medium,Moyen,,,
GAMEPLAY_MedKit,Trousse de Soin,,,
GAMEPLAY_MedKitDescription,,,
GAMEPLAY_MedKitTooltip,,,
GAMEPLAY_MeltingProgress,Fonte en cours...,,,
GAMEPLAY_MerlesKnowledge,Station Service Merle,,,
GAMEPLAY_MerlesKnowledgeDescription,Nourriture et éventuellement matériels médicales .,,,
GAMEPLAY_MetalContainer,Boîte en Métal,,,
GAMEPLAY_Metric,Métrique,,,
GAMEPLAY_miles,miles,,,
GAMEPLAY_MilitaryGradeMRE,Ration Militaire,,,
GAMEPLAY_MilitaryGradeMREDescription,"Ration contemporaine de bonne qualité et qui répond à toutes les exigences techniques de la vraie nourriture ! Conçu pour garder un soldat sur pieds.",,,
GAMEPLAY_MilitaryGradeMRETooltip,,,
GAMEPLAY_minute,minute,,,
GAMEPLAY_minutes,minutes,,,
GAMEPLAY_minutesShortForm,m,,,
GAMEPLAY_MisanthropesHomestead,Ferme du Misanthrope,,,
GAMEPLAY_Mittens,Mitaines,,,
GAMEPLAY_MittensDescription,"Mitaines légères, à peine coupe-vent. Plus chaudes que les gants et mieux que rien.",,,
GAMEPLAY_MittensTooltip,Vêtements,,,
GAMEPLAY_MostlyCloudy,Partiellement Nuageux,,,
GAMEPLAY_MouseSensitivity,Sensibilité Souris,,,
GAMEPLAY_MPHUnits,MPH,,,
GAMEPLAY_Music,Musique,,,
GAMEPLAY_MysteryLake,Lac Mystérieux,,,
GAMEPLAY_MysteryLakeWesternAccess,Lac Mystérieux (Accès Ouest),,,
GAMEPLAY_NeverDieDisabled,Never Die Désactivé,,,
GAMEPLAY_NeverDieEnabled,Never Die Activé,,,
GAMEPLAY_NewSandbox,Nouvelle Partie,,,
GAMEPLAY_Newsprint,Journal,,,
GAMEPLAY_NewsprintDescription,Un journal. Peut être utilisé comme amadou.,,,
GAMEPLAY_NewsprintRoll,Rouleau de Papier Journal,,,
GAMEPLAY_NewsprintRollDescription,Un rouleau de papier journal. Peut être utilisé comme amadou.,,,
GAMEPLAY_NewsprintRollTooltip,Source d'amadou,,,
GAMEPLAY_NewsprintTooltip,Source d'amadou,,,
GAMEPLAY_NextDay,J.Suiv,,,
GAMEPLAY_NoAfflictions,Aucune Affections,,,
GAMEPLAY_NoBedrollininventory,Aucun Sac de couchage dans l'inventaire,,,
GAMEPLAY_Nodecoysininventory,Aucun leurres dans l'inventaire,,,
GAMEPLAY_Nofirearmsininventory,Aucune Arme à feu dans l'inventaire,,,
GAMEPLAY_NoFishingGear,Attirail de Pêche est nécessaire pour la pêche sur glace.,,,
GAMEPLAY_Noflaresininventory,Aucune Fusée ou torches dans l'inventaire,,,
GAMEPLAY_Nofuelinlantern,Aucun Carburant dans la lanterne,,,
GAMEPLAY_NoKeroseneavailable,Pas de Kérosène disponible,,,
GAMEPLAY_Nolampsininventory,Aucune Lampes dans l'inventaire,,,
GAMEPLAY_Nomorereclaimedwoodcanbeforaged,Ne peux pas fabriquer plus de bois de récupération,,,
GAMEPLAY_Nomoretindercanbeforaged,Ne peux pas fabriquer plus d'amadou,,,
GAMEPLAY_None,Aucun,,,
GAMEPLAY_NonPotableWaterSource,Source d'Eau Non Potable,,,
GAMEPLAY_NonPotableWaterSupply,Stock d'Eau Non Potable,,,
GAMEPLAY_Noobjectselectedforharvest,Aucun objet choisi pour la récolte,,,
GAMEPLAY_Noobjectselectedforrepair,Aucun objet sélectionné pour la réparation,,,
GAMEPLAY_Normal,Normal,,,
GAMEPLAY_North,Nord,,,
GAMEPLAY_NorthEast,Nord-Est,,,
GAMEPLAY_NorthWest,Nord-Ouest,,,
GAMEPLAY_Nosavetoload,Aucune Sauvegarde à charger,,,
GAMEPLAY_Notcarryinganywaterthatneedspurification,Aucune eau ayant besoin de purification,,,
GAMEPLAY_NotDehydrated,Non déshydraté,,,
GAMEPLAY_NotEncumbered,Pas encombré,,,
GAMEPLAY_NotExhausted,Pas épuisé,,,
GAMEPLAY_NotFreezing,Pas gelé,,,
GAMEPLAY_Nothingselectedforcrafting,Aucune sélection pour la fabrication,,,
GAMEPLAY_Nothingtoharvest,Rien à récolter,,,
GAMEPLAY_NotStarving,Pas affamé,,,
GAMEPLAY_Nounsafewaterininventory,Pas d'eau non potable dans l'inventaire,,,
GAMEPLAY_Nousablefuelsourceforfireininventory,Aucun carburant utilisable pour le feu dans l'inventaire,,,
GAMEPLAY_Nousabletindertostartfireinventory,Aucun amadou utilisable pour faire le feu dans l'inventaire,,,
GAMEPLAY_Nousabletooltostartfireininventory,Aucun outil utilisable pour démarrer le feu dans l'inventaire,,,
GAMEPLAY_Nowatertodrop,Pas d'eau à lâcher,,,
GAMEPLAY_Nowatertotake,Pas d'eau à prendre,,,
GAMEPLAY_Nowatertotransfer,Pas d'eau à transférer,,,
GAMEPLAY_NumAddedInventory,({num-value}) {item-name} ajouté dans l'inventaire,,,
GAMEPLAY_NumRoundsReturned,{num-value} cartouche(s) remise dans l'inventaire,,,
GAMEPLAY_Off,Off,,,
GAMEPLAY_OldManDavisKnowledge,Le Vieux Davis,,,
GAMEPLAY_OldManDavisKnowledgeDescription,"Armé et paranoïaque, mais un homme bon.",,,
GAMEPLAY_On,On,,,
GAMEPLAY_Open,Ouvrir,,,
GAMEPLAY_OpenCan,Ouvrir Boîte,,,
GAMEPLAY_OpenedPostfix,(Ouvert),,
GAMEPLAY_OpeningProgress,Ouverture...,,,
GAMEPLAY_Options,Options,,,
GAMEPLAY_OrangeSoda,Soda à l'Orange,,,
GAMEPLAY_OrangeSodaDescription,Boisson gazeuse sucrée. Bourrée de sirop de maïs à haute teneur en fructose.,,,
GAMEPLAY_OrangeSodaTooltip,,,
GAMEPLAY_Oven,Four,,,
GAMEPLAY_Overloaded,Surchargé,,,
GAMEPLAY_ozUnits,oz,,,
GAMEPLAY_Painkillers,Analgésiques,,,
GAMEPLAY_PainkillersDescription,Un flacon d'analgésiques. Prenez-les pour réduire la douleur des blessures.,,,
GAMEPLAY_PainkillersTooltip,Endort la douleur,,,
GAMEPLAY_Paper,Papier,,,
GAMEPLAY_Papers,Papiers,,,
GAMEPLAY_PartlyCloudy,Partiellement Nuageux,,,
GAMEPLAY_Paused,Pause,,,
GAMEPLAY_PauseMenu,Menu Pause,,,
GAMEPLAY_PeanutButter,Beurre d'Arachide,,,
GAMEPLAY_PeanutButterDescription,Pot de beurre d'arachide crémeux. Bonne source d'énergie.,,,
GAMEPLAY_PeanutButterTooltip,,,
GAMEPLAY_Pelt,Fourrure de Lapin,,,
GAMEPLAY_PeltDescription,Fourrure utilisée pour la fabrication et la réparation.,,,
GAMEPLAY_Pelts,Fourrures,,Pelze,Шкуры
GAMEPLAY_PeltTooltip,Matière première,,,
GAMEPLAY_PickUp,Prendre,,,
GAMEPLAY_Piece,Morceau,,,
GAMEPLAY_Pieces,Morceaux,,,
GAMEPLAY_Pilgrim,Pèlerin,,Pilger,Пилигрим
GAMEPLAY_Pill,Pilule,,,
GAMEPLAY_Pills,Pilules,,,
GAMEPLAY_PinnaclePeaches,Pêches Suprême,,,
GAMEPLAY_PinnaclePeachesDescription,"Pêches de grande qualité, coupées en deux.",,,
GAMEPLAY_PinnaclePeachesTooltip,,,
GAMEPLAY_Place,Dérouler,,,
GAMEPLAY_PlasticContainer,Boîte Plastique,,,
GAMEPLAY_PlayerHealthPercent,Condition,,,
GAMEPLAY_PM,PM,,,
GAMEPLAY_PorkandBeans,Fèves au lard,,,
GAMEPLAY_PorkandBeansDescription,"Fèves en mélasse, avec des morceaux de ce qui ressemble à du porc.",,,
GAMEPLAY_PorkandBeansTooltip,,,
GAMEPLAY_potable,potable,,,
GAMEPLAY_PotableWaterSource,Source d'Eau Potable,,,
GAMEPLAY_PotableWaterSupply,Stock d'Eau Non Potable,,,
GAMEPLAY_PotBellyStove,Poêle Pot Belly,,,
GAMEPLAY_PremiumWinterCoat,Manteau d'hiver Haut de gamme,,,
GAMEPLAY_PremiumWinterCoatDescription,Manteau d'hiver de haute qualité fait des meilleurs matériaux. Très résistant au vent avec une doublure. Conçu pour les pros.,,,
GAMEPLAY_PremiumWinterCoatTooltip,Vêtements,,,
GAMEPLAY_PressAnyKeyToContinue,Appuyer sur une touche pour continuer,,,
GAMEPLAY_PrevDay,J.préc,,,
GAMEPLAY_Prybar,Pied de Biche,,,
GAMEPLAY_PrybarDescription,Un pied de biche. Utile pour l'ouverture de meubles verrouillés.,,,
GAMEPLAY_PrybarTooltip,Ouvre les meubles verrouillés,,,
GAMEPLAY_PurifyingWater,Purification de l'eau...,,,
GAMEPLAY_PutBack,Remettre,,,
GAMEPLAY_Quality,Qualité,,,
GAMEPLAY_QualityTools,Outils de qualité,,,
GAMEPLAY_QualityToolsDescription,Outils de bonne qualité pour la fabrication et la réparation.,,,
GAMEPLAY_QualityToolsTooltip,Améliore la fabrication et la réparation,,,
GAMEPLAY_QuantityFuelReturned,{quant-value} de carburant remis dans l'inventaire,,,
GAMEPLAY_Quit,Quitter,,,
GAMEPLAY_QuitToMenu,Revenir au Menu,,,
